                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.36755,                0.50199,                      1,                0.70964,              0.0033303,              0.0033303,              0.0033303
                      1,                0.33163,                0.55354,                      1,                0.68706,              0.0065977,              0.0065977,              0.0065977
                      2,                0.31748,                0.57086,                      1,                0.69101,               0.009799,               0.009799,               0.009799
                      3,                0.30231,                0.55115,                      1,                 0.6929,               0.009703,               0.009703,               0.009703
                      4,                 0.2756,                0.66939,                      1,                0.65083,               0.009703,               0.009703,               0.009703
                      5,                0.26163,                0.68432,                      1,                0.63431,               0.009604,               0.009604,               0.009604
                      6,                0.24659,                0.67317,                      1,                0.64385,               0.009505,               0.009505,               0.009505
                      7,                0.23779,                0.71477,                      1,                0.63173,               0.009406,               0.009406,               0.009406
                      8,                0.22706,                0.72452,                      1,                 0.6169,               0.009307,               0.009307,               0.009307
                      9,                0.22434,                0.73666,                      1,                0.61578,               0.009208,               0.009208,               0.009208
                     10,                0.21573,                0.75577,                      1,                0.61184,               0.009109,               0.009109,               0.009109
                     11,                0.20911,                0.76632,                      1,                 0.5923,                0.00901,                0.00901,                0.00901
                     12,                0.20617,                 0.7707,                      1,                0.59738,               0.008911,               0.008911,               0.008911
                     13,                0.20012,                0.79379,                      1,                0.58106,               0.008812,               0.008812,               0.008812
                     14,                0.19763,                0.77807,                      1,                0.59192,               0.008713,               0.008713,               0.008713
                     15,                0.19292,                0.79777,                      1,                 0.5779,               0.008614,               0.008614,               0.008614
                     16,                0.19145,                0.79817,                      1,                0.58011,               0.008515,               0.008515,               0.008515
                     17,                0.18447,                0.78901,                      1,                0.57743,               0.008416,               0.008416,               0.008416
                     18,                0.18412,                0.80195,                      1,                0.57493,               0.008317,               0.008317,               0.008317
                     19,                0.18028,                0.80613,                      1,                0.57026,               0.008218,               0.008218,               0.008218
                     20,                0.17921,                0.80295,                      1,                0.57348,               0.008119,               0.008119,               0.008119
                     21,                0.17864,                0.82444,                      1,                0.56404,                0.00802,                0.00802,                0.00802
                     22,                0.17339,                0.82604,                      1,                0.56261,               0.007921,               0.007921,               0.007921
                     23,                0.17256,                0.81728,                      1,                0.56535,               0.007822,               0.007822,               0.007822
                     24,                0.17155,                0.83201,                      1,                0.55751,               0.007723,               0.007723,               0.007723
                     25,                0.16887,                 0.8328,                      1,                0.55667,               0.007624,               0.007624,               0.007624
                     26,                0.16797,                0.82146,                      1,                0.56071,               0.007525,               0.007525,               0.007525
                     27,                0.16367,                0.83181,                      1,                0.55696,               0.007426,               0.007426,               0.007426
                     28,                0.16295,                0.83201,                      1,                 0.5515,               0.007327,               0.007327,               0.007327
                     29,                0.16022,                0.83599,                      1,                0.55031,               0.007228,               0.007228,               0.007228
                     30,                0.15778,                0.83937,                      1,                0.54942,               0.007129,               0.007129,               0.007129
                     31,                0.15523,                0.84614,                      1,                0.54774,                0.00703,                0.00703,                0.00703
                     32,                 0.1507,                0.84693,                      1,                0.54697,               0.006931,               0.006931,               0.006931
                     33,                0.15053,                0.84833,                      1,                0.54638,               0.006832,               0.006832,               0.006832
                     34,                0.15131,                 0.8535,                      1,                0.54419,               0.006733,               0.006733,               0.006733
                     35,                0.14875,                0.85569,                      1,                 0.5419,               0.006634,               0.006634,               0.006634
                     36,                 0.1481,                0.85609,                      1,                 0.5413,               0.006535,               0.006535,               0.006535
                     37,                0.14375,                0.86127,                      1,                0.53879,               0.006436,               0.006436,               0.006436
                     38,                0.14252,                0.86326,                      1,                0.53644,               0.006337,               0.006337,               0.006337
                     39,                0.14256,                0.86545,                      1,                 0.5356,               0.006238,               0.006238,               0.006238
